asa_NoVuelo,asa_AerolineaICAO,asa_FechaHoraSlot,asa_FechaHoraPosicion2,asa_TipoAvion,asa_Terminal,asa_Posicion,asa_TipoOperacion,slot,posicion2,delay_to_gate,hour_sin,hour_cos,day_sin,day_cos,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24
357.0,AMX,2026-08-03 21:05:00,2026-03-08 21:37:00,B738,T2,72,A,2026-08-03 21:05:00,2026-03-08 21:37:00,32,-0.6915130557822698,0.7223639620597551,0.0,1.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0
1373.0,VIV,2026-08-03 21:05:00,2026-03-08 22:51:00,A320,T1,5,A,2026-08-03 21:05:00,2026-03-08 22:51:00,106,-0.6915130557822698,0.7223639620597551,0.0,1.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0
2606.0,AMX,2026-08-03 21:05:00,2026-03-08 21:28:00,E190,T2,72,D,2026-08-03 21:05:00,2026-03-08 21:28:00,23,-0.6915130557822698,0.7223639620597551,0.0,1.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0
260.0,VOI,2026-08-03 21:05:00,2026-03-08 21:04:00,A320,T1,9,D,2026-08-03 21:05:00,2026-03-08 21:04:00,-1,-0.6915130557822698,0.7223639620597551,0.0,1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0
147.0,AMX,2026-08-03 21:05:00,2026-03-08 20:58:00,B39M,T2,78,A,2026-08-03 21:05:00,2026-03-08 20:58:00,-7,-0.6915130557822698,0.7223639620597551,0.0,1.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0
1418.0,AMX,2026-08-03 21:05:00,2026-03-08 22:00:00,E190,T2,84,D,2026-08-03 21:05:00,2026-03-08 22:00:00,55,-0.6915130557822698,0.7223639620597551,0.0,1.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0
179.0,AMX,2026-08-03 21:05:00,2026-03-08 21:15:00,B7M8,T2,79,A,2026-08-03 21:05:00,2026-03-08 21:15:00,10,-0.6915130557822698,0.7223639620597551,0.0,1.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0
741.0,VOI,2026-08-03 21:10:00,2026-03-08 21:26:00,A321,T1,24,A,2026-08-03 21:10:00,2026-03-08 21:26:00,16,-0.6755902076156598,0.7372773368101244,0.0,1.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0
1068.0,VIV,2026-08-03 21:10:00,2026-03-08 22:19:00,A321,T1,6,D,2026-08-03 21:10:00,2026-03-08 22:19:00,69,-0.6755902076156598,0.7372773368101244,0.0,1.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0
960.0,AMX,2026-08-03 21:10:00,2026-03-08 21:40:00,B39M,T2,76,D,2026-08-03 21:10:00,2026-03-08 21:40:00,30,-0.6755902076156598,0.7372773368101244,0.0,1.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0
322.0,AMX,2026-08-03 21:15:00,2026-03-08 21:38:00,B738,T2,65,D,2026-08-03 21:15:00,2026-03-08 21:38:00,23,-0.6593458151000687,0.7518398074789775,0.0,1.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0
866.0,AMX,2026-08-03 21:15:00,2026-03-08 21:24:00,E190,T2,82,D,2026-08-03 21:15:00,2026-03-08 21:24:00,9,-0.6593458151000687,0.7518398074789775,0.0,1.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0
555.0,AMX,2026-08-03 21:20:00,2026-03-08 21:24:00,B738,T2,69,A,2026-08-03 21:20:00,2026-03-08 21:24:00,4,-0.6427876096865396,0.7660444431189778,0.0,1.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0
