slot,aerolinea,vuelo,puerta_original,delay_predicho,puerta_sugerida,timestamp_simulacion
2026-09-01 05:00:00,AMX,189.0,65,-0.1,-,2026-05-15 15:27:51.747413
2026-09-01 05:00:00,AMX,665.0,60,-3.0,-,2026-05-15 15:27:51.911485
2026-09-01 05:00:00,AVA,235.0,32,-3.4,-,2026-05-15 15:27:52.070707
2026-09-01 05:00:00,AVA,45.0,36,-4.3,-,2026-05-15 15:27:52.226124
2026-09-01 05:00:00,VIV,1232.0,3,-2.9,-,2026-05-15 15:27:52.382587
2026-09-01 05:00:00,VOI,325.0,2,6.4,-,2026-05-15 15:27:52.529779
2026-09-01 05:05:00,UAL,412.0,31,6.4,-,2026-05-15 15:27:52.706595
2026-09-01 05:05:00,UAL,822.0,31,0.7,-,2026-05-15 15:27:52.857924
2026-09-01 05:05:00,VIV,1251.0,10,-3.5,-,2026-05-15 15:27:53.028429
2026-09-01 05:10:00,IBE,303.0,25,-2.5,-,2026-05-15 15:27:53.259843
2026-09-01 05:15:00,VIV,147.0,24,-6.2,-,2026-05-15 15:27:53.434066
2026-09-01 05:20:00,VOI,480.0,9,2.5,-,2026-05-15 15:27:53.596130
2026-09-01 05:20:00,AMX,689.0,56,0.1,-,2026-05-15 15:27:53.757282
2026-09-01 05:20:00,AMX,22.0,68,-1.1,-,2026-05-15 15:27:53.917450
2026-09-01 05:25:00,VOI,711.0,32,0.6,-,2026-05-15 15:27:54.098640
2026-09-01 05:30:00,AMX,709.0,55,1.9,-,2026-05-15 15:27:54.270160
2026-09-01 05:30:00,VOI,180.0,22,3.0,-,2026-05-15 15:27:54.410332
2026-09-01 05:35:00,AMX,799.0,59,7.4,-,2026-05-15 15:27:54.555541
2026-09-01 05:35:00,VIV,1120.0,8,0.4,-,2026-05-15 15:27:54.700930
2026-09-01 05:35:00,VIV,1249.0,8,4.6,-,2026-05-15 15:27:54.881792
2026-09-01 05:45:00,VIV,1268.0,S2,4.5,-,2026-05-15 15:27:55.023711
2026-09-01 05:45:00,VOI,111.0,26,5.0,-,2026-05-15 15:27:55.196773
2026-09-01 05:45:00,UAL,1085.0,34,2.6,-,2026-05-15 15:27:55.347226
2026-09-01 05:50:00,AAL,1963.0,35,7.6,-,2026-05-15 15:27:55.514230
2026-09-01 05:50:00,AMX,191.0,48,6.3,-,2026-05-15 15:27:55.675425
2026-09-01 05:50:00,AMX,2062.0,80,7.1,-,2026-05-15 15:27:55.839192
2026-09-01 05:55:00,VOI,460.0,S4,1.1,-,2026-05-15 15:27:56.004796
2026-09-01 05:55:00,VOI,220.0,13,3.1,-,2026-05-15 15:27:56.160310
2026-09-01 05:55:00,AMX,195.0,63,1.5,-,2026-05-15 15:27:56.316269
2026-09-01 05:55:00,ACA,994.0,28,1.2,-,2026-05-15 15:27:56.474117
2026-09-01 05:55:00,CMP,195.0,30,2.4,-,2026-05-15 15:27:56.614308
2026-09-01 06:00:00,AMX,200.0,52,4.8,-,2026-05-15 15:27:56.763967
2026-09-01 06:00:00,AAL,1066.0,29,0.9,-,2026-05-15 15:27:56.919062
2026-09-01 06:00:00,AMX,1044.0,75,6.4,-,2026-05-15 15:27:57.074554
2026-09-01 06:00:00,AMX,362.0,60,3.3,-,2026-05-15 15:27:57.244937
